NumDevices,MobilitySpeed,TrafficInterval,Sigma,RunNumber,TotalPackets,SuccessfulPackets,PDR_Percent,AvgEnergy_mJ,alg,scenario
600,0.0,72,3.96,72,66000,40688,61.65,0.325436,No-ADR,density
1000,0.0,145,0.00,72,110000,82711,75.19,0.217659,ADR-AVG,density
600,0.0,72,7.92,72,66000,46771,70.87,0.209263,ADR-AVG,density
1000,0.0,145,0.00,72,110000,95778,87.07,0.169702,ADR-Lite,density
600,0.0,72,7.92,72,66000,52790,79.98,0.174854,ADR-Lite,density
1000,0.0,145,0.00,72,110000,84413,76.74,0.154045,ADR-MAX,density
600,0.0,72,7.92,72,66000,47362,71.76,0.154803,ADR-MAX,density
1000,0.0,145,0.00,72,110000,70840,64.40,0.325436,No-ADR,density
600,0.0,72,7.92,72,66000,43910,66.53,0.325436,No-ADR,density
1000,0.0,145,3.96,72,110000,83991,76.36,0.203138,ADR-AVG,density
700,0.0,145,0.00,72,77000,63082,81.92,0.193563,ADR-AVG,density
1000,0.0,145,3.96,72,110000,94337,85.76,0.166037,ADR-Lite,density
700,0.0,145,0.00,72,77000,69883,90.76,0.156183,ADR-Lite,density
1000,0.0,145,3.96,72,110000,85018,77.29,0.150889,ADR-MAX,density
700,0.0,145,0.00,72,77000,64052,83.18,0.144448,ADR-MAX,density
1000,0.0,145,3.96,72,110000,74227,67.48,0.325436,No-ADR,density
700,0.0,145,0.00,72,77000,56980,74.00,0.325436,No-ADR,density
1000,0.0,145,7.92,72,110000,81526,74.11,0.197332,ADR-AVG,density
700,0.0,145,3.96,72,77000,63094,81.94,0.186367,ADR-AVG,density
1000,0.0,145,7.92,72,110000,89799,81.64,0.169592,ADR-Lite,density
700,0.0,145,3.96,72,77000,68440,88.88,0.156063,ADR-Lite,density
1000,0.0,145,7.92,72,110000,82138,74.67,0.150581,ADR-MAX,density
700,0.0,145,3.96,72,77000,63554,82.54,0.143925,ADR-MAX,density
1000,0.0,145,7.92,72,110000,78377,71.25,0.325436,No-ADR,density
700,0.0,145,3.96,72,77000,58932,76.54,0.325436,No-ADR,density
1000,0.0,3600,0.00,72,110000,109078,99.16,0.155609,ADR-AVG,density
1000,0.0,3600,0.00,72,110000,109506,99.55,0.133757,ADR-Lite,density
700,0.0,145,7.92,72,77000,60429,78.48,0.184673,ADR-AVG,density
1000,0.0,3600,0.00,72,110000,109082,99.17,0.130480,ADR-MAX,density
700,0.0,145,7.92,72,77000,64725,84.06,0.162116,ADR-Lite,density
700,0.0,145,7.92,72,77000,60663,78.78,0.145493,ADR-MAX,density
1000,0.0,3600,0.00,72,110000,107140,97.40,0.325436,No-ADR,density
700,0.0,145,7.92,72,77000,60545,78.63,0.325436,No-ADR,density
1000,0.0,3600,3.96,72,110000,106129,96.48,0.157398,ADR-AVG,density
700,0.0,3600,0.00,72,77000,76847,99.80,0.155087,ADR-AVG,density
1000,0.0,3600,3.96,72,110000,106794,97.09,0.136684,ADR-Lite,density
700,0.0,3600,0.00,72,77000,76901,99.87,0.133261,ADR-Lite,density
1000,0.0,3600,3.96,72,110000,106128,96.48,0.131605,ADR-MAX,density
700,0.0,3600,0.00,72,77000,76848,99.80,0.130139,ADR-MAX,density
1000,0.0,3600,3.96,72,110000,107469,97.70,0.325436,No-ADR,density
700,0.0,3600,0.00,72,77000,75790,98.43,0.325436,No-ADR,density
1000,0.0,3600,7.92,72,110000,97994,89.09,0.163197,ADR-AVG,density
700,0.0,3600,3.96,72,77000,74852,97.21,0.156767,ADR-AVG,density
1000,0.0,3600,7.92,72,110000,99311,90.28,0.145730,ADR-Lite,density
700,0.0,3600,3.96,72,77000,75116,97.55,0.135958,ADR-Lite,density
1000,0.0,3600,7.92,72,110000,97988,89.08,0.135197,ADR-MAX,density
700,0.0,3600,3.96,72,77000,74852,97.21,0.131188,ADR-MAX,density
1000,0.0,3600,7.92,72,110000,105066,95.51,0.325436,No-ADR,density
700,0.0,3600,3.96,72,77000,75925,98.60,0.325436,No-ADR,density
1000,0.0,72,0.00,72,110000,62089,56.44,0.290568,ADR-AVG,density
700,0.0,3600,7.92,72,77000,69119,89.76,0.162560,ADR-AVG,density
1000,0.0,72,0.00,72,110000,82784,75.26,0.331172,ADR-Lite,density
700,0.0,3600,7.92,72,77000,69826,90.68,0.145073,ADR-Lite,density
1000,0.0,72,0.00,72,110000,63661,57.87,0.224597,ADR-MAX,density
700,0.0,3600,7.92,72,77000,69103,89.74,0.134808,ADR-MAX,density
1000,0.0,72,0.00,72,110000,44770,40.70,0.325436,No-ADR,density
700,0.0,3600,7.92,72,77000,73950,96.04,0.325436,No-ADR,density
1000,0.0,72,3.96,72,110000,64739,58.85,0.286109,ADR-AVG,density
700,0.0,72,0.00,72,77000,51592,67.00,0.253578,ADR-AVG,density
700,0.0,72,0.00,72,77000,63364,82.29,0.198618,ADR-Lite,density
1000,0.0,72,3.96,72,110000,82527,75.02,0.234103,ADR-Lite,density
1000,0.0,72,3.96,72,110000,66031,60.03,0.198349,ADR-MAX,density
700,0.0,72,0.00,72,77000,52820,68.60,0.173850,ADR-MAX,density
700,0.0,72,0.00,72,77000,42130,54.71,0.325436,No-ADR,density
1000,0.0,72,3.96,72,110000,49493,44.99,0.325436,No-ADR,density
700,0.0,72,3.96,72,77000,52498,68.18,0.234063,ADR-AVG,density
1000,0.0,72,7.92,72,110000,66556,60.51,0.250878,ADR-AVG,density
700,0.0,72,3.96,72,77000,62361,80.99,0.184700,ADR-Lite,density
1000,0.0,72,7.92,72,110000,81053,73.68,0.205977,ADR-Lite,density
700,0.0,72,3.96,72,77000,53436,69.40,0.163665,ADR-MAX,density
1000,0.0,72,7.92,72,110000,67580,61.44,0.177301,ADR-MAX,density
1000,0.0,72,7.92,72,110000,57081,51.89,0.325436,No-ADR,density
700,0.0,72,3.96,72,77000,45453,59.03,0.325436,No-ADR,density
700,0.0,72,7.92,72,77000,52506,68.19,0.216932,ADR-AVG,density
100,0.0,145,0.00,72,11000,10869,98.81,0.156817,ADR-AVG,density
700,0.0,72,7.92,72,77000,60185,78.16,0.182411,ADR-Lite,density
100,0.0,145,0.00,72,11000,10922,99.29,0.134830,ADR-Lite,density
700,0.0,72,7.92,72,77000,53046,68.89,0.159812,ADR-MAX,density
100,0.0,145,0.00,72,11000,10871,98.83,0.131111,ADR-MAX,density
100,0.0,145,0.00,72,11000,10010,91.00,0.325436,No-ADR,density
700,0.0,72,7.92,72,77000,49094,63.76,0.325436,No-ADR,density
100,0.0,145,3.96,72,11000,10648,96.80,0.157752,ADR-AVG,density
800,0.0,145,0.00,72,88000,70624,80.25,0.200287,ADR-AVG,density
100,0.0,145,3.96,72,11000,10712,97.38,0.136925,ADR-Lite,density
800,0.0,145,0.00,72,88000,79151,89.94,0.158128,ADR-Lite,density
800,0.0,145,0.00,72,88000,71945,81.76,0.146406,ADR-MAX,density
100,0.0,145,3.96,72,11000,10647,96.79,0.131847,ADR-MAX,density
800,0.0,145,0.00,72,88000,61820,70.25,0.325436,No-ADR,density
100,0.0,145,3.96,72,11000,10186,92.60,0.325436,No-ADR,density
100,0.0,145,7.92,72,11000,9764,88.76,0.164410,ADR-AVG,density
800,0.0,145,3.96,72,88000,70960,80.64,0.191424,ADR-AVG,density
100,0.0,145,7.92,72,11000,9881,89.83,0.147124,ADR-Lite,density
800,0.0,145,3.96,72,88000,77643,88.23,0.158225,ADR-Lite,density
100,0.0,145,7.92,72,11000,9765,88.77,0.135984,ADR-MAX,density
800,0.0,145,3.96,72,88000,71699,81.48,0.145494,ADR-MAX,density
100,0.0,145,7.92,72,11000,10120,92.00,0.325436,No-ADR,density
800,0.0,145,3.96,72,88000,64460,73.25,0.325436,No-ADR,density
100,0.0,3600,0.00,72,11000,10999,99.99,0.154694,ADR-AVG,density
800,0.0,145,7.92,72,88000,68072,77.35,0.188704,ADR-AVG,density
100,0.0,3600,0.00,72,11000,10999,99.99,0.132907,ADR-Lite,density
800,0.0,145,7.92,72,88000,73468,83.49,0.164190,ADR-Lite,density
100,0.0,3600,0.00,72,11000,10999,99.99,0.129932,ADR-MAX,density
800,0.0,145,7.92,72,88000,68438,77.77,0.146845,ADR-MAX,density
800,0.0,145,7.92,72,88000,66944,76.07,0.325436,No-ADR,density
100,0.0,3600,0.00,72,11000,11000,100.00,0.325436,No-ADR,density
800,0.0,3600,0.00,72,88000,87731,99.69,0.155190,ADR-AVG,density
100,0.0,3600,3.96,72,11000,10758,97.80,0.156151,ADR-AVG,density
800,0.0,3600,0.00,72,88000,87840,99.82,0.133341,ADR-Lite,density
100,0.0,3600,3.96,72,11000,10777,97.97,0.135275,ADR-Lite,density
800,0.0,3600,0.00,72,88000,87734,99.70,0.130192,ADR-MAX,density
100,0.0,3600,3.96,72,11000,10758,97.80,0.130834,ADR-MAX,density
800,0.0,3600,0.00,72,88000,86130,97.88,0.325436,No-ADR,density
100,0.0,3600,3.96,72,11000,10994,99.95,0.325436,No-ADR,density
800,0.0,3600,3.96,72,88000,85422,97.07,0.156898,ADR-AVG,density
100,0.0,3600,7.92,72,11000,9841,89.46,0.162789,ADR-AVG,density
800,0.0,3600,3.96,72,88000,85753,97.45,0.136144,ADR-Lite,density
100,0.0,3600,7.92,72,11000,9927,90.25,0.145741,ADR-Lite,density
800,0.0,3600,3.96,72,88000,85418,97.07,0.131285,ADR-MAX,density
100,0.0,3600,7.92,72,11000,9837,89.43,0.135103,ADR-MAX,density
800,0.0,3600,3.96,72,88000,86307,98.08,0.325436,No-ADR,density
100,0.0,3600,7.92,72,11000,10690,97.18,0.325436,No-ADR,density
800,0.0,3600,7.92,72,88000,78787,89.53,0.162756,ADR-AVG,density
100,0.0,72,0.00,72,11000,10638,96.71,0.160146,ADR-AVG,density
800,0.0,3600,7.92,72,88000,79631,90.49,0.145395,ADR-Lite,density
100,0.0,72,0.00,72,11000,10801,98.19,0.137093,ADR-Lite,density
100,0.0,72,0.00,72,11000,10647,96.79,0.132586,ADR-MAX,density
800,0.0,3600,7.92,72,88000,78772,89.51,0.134911,ADR-MAX,density
100,0.0,72,0.00,72,11000,9240,84.00,0.325436,No-ADR,density
800,0.0,3600,7.92,72,88000,84359,95.86,0.325436,No-ADR,density
100,0.0,72,3.96,72,11000,10362,94.20,0.161265,ADR-AVG,density
800,0.0,72,0.00,72,88000,56020,63.66,0.268426,ADR-AVG,density
100,0.0,72,3.96,72,11000,10544,95.85,0.140103,ADR-Lite,density
800,0.0,72,0.00,72,88000,70326,79.92,0.226809,ADR-Lite,density
100,0.0,72,3.96,72,11000,10366,94.24,0.133812,ADR-MAX,density
800,0.0,72,0.00,72,88000,57274,65.08,0.186705,ADR-MAX,density
100,0.0,72,3.96,72,11000,9514,86.49,0.325436,No-ADR,density
800,0.0,72,0.00,72,88000,43120,49.00,0.325436,No-ADR,density
100,0.0,72,7.92,72,11000,9533,86.66,0.167340,ADR-AVG,density
800,0.0,72,3.96,72,88000,57507,65.35,0.246536,ADR-AVG,density
100,0.0,72,7.92,72,11000,9741,88.55,0.149880,ADR-Lite,density
800,0.0,72,3.96,72,88000,69788,79.30,0.197173,ADR-Lite,density
100,0.0,72,7.92,72,11000,9539,86.72,0.137649,ADR-MAX,density
800,0.0,72,3.96,72,88000,58563,66.55,0.172705,ADR-MAX,density
100,0.0,72,7.92,72,11000,9600,87.27,0.325436,No-ADR,density
800,0.0,72,3.96,72,88000,46997,53.41,0.325436,No-ADR,density
100,33.3,145,0.00,72,11000,6577,59.79,0.922219,ADR-AVG,density
800,0.0,72,7.92,72,88000,57799,65.68,0.226725,ADR-AVG,density
100,33.3,145,0.00,72,11000,8260,75.09,0.416219,ADR-Lite,density
800,0.0,72,7.92,72,88000,67513,76.72,0.188281,ADR-Lite,density
800,0.0,72,7.92,72,88000,58557,66.54,0.163590,ADR-MAX,density
100,33.3,145,0.00,72,11000,6566,59.69,0.944334,ADR-MAX,density
100,33.3,145,0.00,72,11000,7905,71.86,0.325436,No-ADR,density
800,0.0,72,7.92,72,88000,52100,59.20,0.325436,No-ADR,density
100,33.3,145,3.96,72,11000,6637,60.34,0.896583,ADR-AVG,density
900,0.0,145,0.00,72,99000,77082,77.86,0.209095,ADR-AVG,density
100,33.3,145,3.96,72,11000,8191,74.46,0.428248,ADR-Lite,density
900,0.0,145,0.00,72,99000,87764,88.65,0.163638,ADR-Lite,density
100,33.3,145,3.96,72,11000,6627,60.25,0.921273,ADR-MAX,density
900,0.0,145,0.00,72,99000,78677,79.47,0.149877,ADR-MAX,density
100,33.3,145,3.96,72,11000,7914,71.95,0.325436,No-ADR,density
900,0.0,145,0.00,72,99000,67430,68.11,0.325436,No-ADR,density
100,33.3,145,7.92,72,11000,6554,59.58,0.927072,ADR-AVG,density
900,0.0,145,3.96,72,99000,77811,78.60,0.196077,ADR-AVG,density
100,33.3,145,7.92,72,11000,7959,72.35,0.478058,ADR-Lite,density
900,0.0,145,3.96,72,99000,86167,87.04,0.161419,ADR-Lite,density
900,0.0,145,3.96,72,99000,78663,79.46,0.147639,ADR-MAX,density
100,33.3,145,7.92,72,11000,6554,59.58,0.953221,ADR-MAX,density
100,33.3,145,7.92,72,11000,7756,70.51,0.325436,No-ADR,density
900,0.0,145,3.96,72,99000,69683,70.39,0.325436,No-ADR,density
100,33.3,72,0.00,72,11000,6692,60.84,0.945635,ADR-AVG,density
900,0.0,145,7.92,72,99000,75096,75.85,0.191463,ADR-AVG,density
100,33.3,72,0.00,72,11000,8345,75.86,0.409138,ADR-Lite,density
900,0.0,145,7.92,72,99000,81632,82.46,0.166886,ADR-Lite,density
100,33.3,72,0.00,72,11000,6686,60.78,0.917095,ADR-MAX,density
900,0.0,145,7.92,72,99000,75492,76.25,0.148623,ADR-MAX,density
100,33.3,72,0.00,72,11000,7945,72.23,0.325436,No-ADR,density
900,0.0,145,7.92,72,99000,72868,73.60,0.325436,No-ADR,density
100,33.3,72,3.96,72,11000,6700,60.91,0.909484,ADR-AVG,density
900,0.0,3600,0.00,72,99000,98409,99.40,0.155398,ADR-AVG,density
100,33.3,72,3.96,72,11000,8242,74.93,0.425430,ADR-Lite,density
900,0.0,3600,0.00,72,99000,98677,99.67,0.133551,ADR-Lite,density
100,33.3,72,3.96,72,11000,6680,60.73,0.923553,ADR-MAX,density
900,0.0,3600,0.00,72,99000,98412,99.41,0.130342,ADR-MAX,density
100,33.3,72,3.96,72,11000,7949,72.26,0.325436,No-ADR,density
900,0.0,3600,0.00,72,99000,97680,98.67,0.325436,No-ADR,density
100,33.3,72,7.92,72,11000,6574,59.76,0.944649,ADR-AVG,density
900,0.0,3600,3.96,72,99000,95749,96.72,0.157207,ADR-AVG,density
100,33.3,72,7.92,72,11000,8001,72.74,0.483329,ADR-Lite,density
900,0.0,3600,3.96,72,99000,96215,97.19,0.136513,ADR-Lite,density
100,33.3,72,7.92,72,11000,6571,59.74,0.958875,ADR-MAX,density
900,0.0,3600,3.96,72,99000,95744,96.71,0.131469,ADR-MAX,density
100,33.3,72,7.92,72,11000,7798,70.89,0.325436,No-ADR,density
900,0.0,3600,3.96,72,99000,97717,98.70,0.325436,No-ADR,density
100,60.0,145,0.00,72,11000,6325,57.50,0.948195,ADR-AVG,density
900,0.0,3600,7.92,72,99000,88305,89.20,0.163074,ADR-AVG,density
100,60.0,145,0.00,72,11000,8148,74.07,0.488669,ADR-Lite,density
900,0.0,3600,7.92,72,99000,89358,90.26,0.145707,ADR-Lite,density
100,60.0,145,0.00,72,11000,6328,57.53,0.972011,ADR-MAX,density
900,0.0,3600,7.92,72,99000,88287,89.18,0.135120,ADR-MAX,density
100,60.0,145,0.00,72,11000,7734,70.31,0.325436,No-ADR,density
900,0.0,3600,7.92,72,99000,95096,96.06,0.325436,No-ADR,density
100,60.0,145,3.96,72,11000,6353,57.75,0.977788,ADR-AVG,density
900,0.0,72,0.00,72,99000,59347,59.95,0.279736,ADR-AVG,density
100,60.0,145,3.96,72,11000,8089,73.54,0.506269,ADR-Lite,density
900,0.0,72,0.00,72,99000,76696,77.47,0.271333,ADR-Lite,density
100,60.0,145,3.96,72,11000,6350,57.73,0.975596,ADR-MAX,density
900,0.0,72,0.00,72,99000,60840,61.45,0.204025,ADR-MAX,density
100,60.0,145,3.96,72,11000,7708,70.07,0.325436,No-ADR,density
100,60.0,145,7.92,72,11000,6310,57.36,0.995292,ADR-AVG,density
900,0.0,72,0.00,72,99000,43780,44.22,0.325436,No-ADR,density
900,0.0,72,3.96,72,99000,61523,62.14,0.262476,ADR-AVG,density
100,60.0,145,7.92,72,11000,7917,71.97,0.562150,ADR-Lite,density
900,0.0,72,3.96,72,99000,76359,77.13,0.214561,ADR-Lite,density
100,60.0,145,7.92,72,11000,6313,57.39,0.988981,ADR-MAX,density
900,0.0,72,3.96,72,99000,62505,63.14,0.184831,ADR-MAX,density
100,60.0,145,7.92,72,11000,7575,68.86,0.325436,No-ADR,density
900,0.0,72,3.96,72,99000,48231,48.72,0.325436,No-ADR,density
100,60.0,72,0.00,72,11000,6396,58.15,0.960083,ADR-AVG,density
900,0.0,72,7.92,72,99000,62275,62.90,0.237102,ADR-AVG,density
100,60.0,72,0.00,72,11000,8158,74.16,0.434010,ADR-Lite,density
900,0.0,72,7.92,72,99000,74237,74.99,0.196447,ADR-Lite,density
100,60.0,72,0.00,72,11000,6390,58.09,0.999395,ADR-MAX,density
900,0.0,72,7.92,72,99000,63125,63.76,0.169938,ADR-MAX,density
100,60.0,72,0.00,72,11000,7817,71.06,0.325436,No-ADR,density
900,0.0,72,7.92,72,99000,54758,55.31,0.325436,No-ADR,density
100,60.0,72,3.96,72,11000,6446,58.60,0.977243,ADR-AVG,density
100,60.0,72,3.96,72,11000,8113,73.75,0.451267,ADR-Lite,density
100,60.0,72,3.96,72,11000,6439,58.54,0.976521,ADR-MAX,density
100,60.0,72,3.96,72,11000,7866,71.51,0.325436,No-ADR,density
100,60.0,72,7.92,72,11000,6347,57.70,0.938873,ADR-AVG,density
100,60.0,72,7.92,72,11000,7877,71.61,0.504241,ADR-Lite,density
100,60.0,72,7.92,72,11000,6366,57.87,0.997898,ADR-MAX,density
100,60.0,72,7.92,72,11000,7692,69.93,0.325436,No-ADR,density
200,0.0,145,0.00,72,22000,20527,93.30,0.162980,ADR-AVG,density
200,0.0,145,0.00,72,22000,21227,96.49,0.139932,ADR-Lite,density
200,0.0,145,0.00,72,22000,20550,93.41,0.134656,ADR-MAX,density
200,0.0,145,0.00,72,22000,19580,89.00,0.325436,No-ADR,density
200,0.0,145,3.96,72,22000,20275,92.16,0.163152,ADR-AVG,density
200,0.0,145,3.96,72,22000,20800,94.55,0.142252,ADR-Lite,density
200,0.0,145,3.96,72,22000,20277,92.17,0.135100,ADR-MAX,density
200,0.0,145,3.96,72,22000,19932,90.60,0.325436,No-ADR,density
200,0.0,145,7.92,72,22000,18840,85.64,0.168565,ADR-AVG,density
200,0.0,145,7.92,72,22000,19375,88.07,0.151336,ADR-Lite,density
200,0.0,145,7.92,72,22000,18832,85.60,0.138512,ADR-MAX,density
200,0.0,145,7.92,72,22000,19961,90.73,0.325436,No-ADR,density
200,0.0,3600,0.00,72,22000,21995,99.98,0.154767,ADR-AVG,density
200,0.0,3600,0.00,72,22000,21995,99.98,0.132974,ADR-Lite,density
200,0.0,3600,0.00,72,22000,21995,99.98,0.129969,ADR-MAX,density
200,0.0,3600,0.00,72,22000,22000,100.00,0.325436,No-ADR,density
200,0.0,3600,3.96,72,22000,21449,97.50,0.156424,ADR-AVG,density
200,0.0,3600,3.96,72,22000,21492,97.69,0.135673,ADR-Lite,density
200,0.0,3600,3.96,72,22000,21449,97.50,0.130986,ADR-MAX,density
200,0.0,3600,3.96,72,22000,21986,99.94,0.325436,No-ADR,density
200,0.0,3600,7.92,72,22000,19682,89.46,0.162722,ADR-AVG,density
200,0.0,3600,7.92,72,22000,19879,90.36,0.145457,ADR-Lite,density
200,0.0,3600,7.92,72,22000,19679,89.45,0.134839,ADR-MAX,density
200,0.0,3600,7.92,72,22000,21380,97.18,0.325436,No-ADR,density
200,0.0,72,0.00,72,22000,19447,88.40,0.174575,ADR-AVG,density
200,0.0,72,0.00,72,22000,20667,93.94,0.146409,ADR-Lite,density
200,0.0,72,0.00,72,22000,19543,88.83,0.139113,ADR-MAX,density
200,0.0,72,0.00,72,22000,17270,78.50,0.325436,No-ADR,density
200,0.0,72,3.96,72,22000,19159,87.09,0.174368,ADR-AVG,density
200,0.0,72,3.96,72,22000,20178,91.72,0.148618,ADR-Lite,density
200,0.0,72,3.96,72,22000,19253,87.51,0.139152,ADR-MAX,density
200,0.0,72,3.96,72,22000,17792,80.87,0.325436,No-ADR,density
200,0.0,72,7.92,72,22000,17915,81.43,0.177142,ADR-AVG,density
200,0.0,72,7.92,72,22000,18839,85.63,0.156984,ADR-Lite,density
200,0.0,72,7.92,72,22000,17968,81.67,0.142047,ADR-MAX,density
200,0.0,72,7.92,72,22000,18295,83.16,0.325436,No-ADR,density
200,33.3,145,0.00,72,22000,13436,61.07,0.864440,ADR-AVG,density
200,33.3,145,0.00,72,22000,16676,75.80,0.425628,ADR-Lite,density
200,33.3,145,0.00,72,22000,13426,61.03,0.880180,ADR-MAX,density
200,33.3,145,0.00,72,22000,15923,72.38,0.325436,No-ADR,density
200,33.3,145,3.96,72,22000,13369,60.77,0.912562,ADR-AVG,density
200,33.3,145,3.96,72,22000,16497,74.99,0.437593,ADR-Lite,density
200,33.3,145,3.96,72,22000,13371,60.78,0.881531,ADR-MAX,density
200,33.3,145,3.96,72,22000,15906,72.30,0.325436,No-ADR,density
200,33.3,145,7.92,72,22000,13187,59.94,0.912157,ADR-AVG,density
200,33.3,145,7.92,72,22000,15982,72.65,0.505536,ADR-Lite,density
200,33.3,145,7.92,72,22000,13194,59.97,0.892011,ADR-MAX,density
200,33.3,145,7.92,72,22000,15582,70.83,0.325436,No-ADR,density
200,33.3,72,0.00,72,22000,13523,61.47,0.861481,ADR-AVG,density
200,33.3,72,0.00,72,22000,16893,76.79,0.415773,ADR-Lite,density
